id,category,description,notes,dynamics,instruments,assigned,qty,w,n_events,n_distinct,player_count,span_semitones,interval_raw,interval_reported,pitch_structure_density,sonic_mass,instrument_rss,composite_total,composite_total_pre_log,spectral_entropy,harmonic_ratio,weighted_orchestral,weighted_pitch,warnings,nonfinite_flag
EDO.near_unison_0p5c,EDO,near-unison C4 vs +0.5c,C4 C4+0.500000000000256c,mf mf,flauta flauta,,1 1,0.5,2,2,2,0.005000000000002558,0.9995001249791691,0.30092143561520773,1.4384556957728936,51.90911560703676,36.705287652224044,0.007758003932005602,0.01802397018847921,0.999999999957083,1.0,1.8352643826112023,0.15046071780760387,,False
WEIGHT.w0.0,WEIGHT,weight sweep w=0.0,C6 C4 C2,mf mf mf,flauta violino double_bass,,1 1 1,0.0,3,3,3,48.0,0.18966565362784496,0.026623907210711117,0.29416334622488083,68.461234,46.25509702702835,0.0018344666846413769,0.004232949370027161,1.281095357068227,1.0,0.0,0.026623907210711117,,False
WEIGHT.w0.25,WEIGHT,weight sweep w=0.25,C6 C4 C2,mf mf mf,flauta violino double_bass,,1 1 1,0.25,3,3,3,48.0,0.18966565362784496,0.026623907210711117,0.29416334622488083,68.461234,46.25509702702835,0.0018344666846413769,0.004232949370027161,1.281095357068227,1.0,1.1563774256757087,0.019967930408033338,,False
WEIGHT.w0.5,WEIGHT,weight sweep w=0.5,C6 C4 C2,mf mf mf,flauta violino double_bass,,1 1 1,0.5,3,3,3,48.0,0.18966565362784496,0.026623907210711117,0.29416334622488083,68.461234,46.25509702702835,0.0018344666846413769,0.004232949370027161,1.281095357068227,1.0,2.3127548513514173,0.013311953605355559,,False
WEIGHT.w0.75,WEIGHT,weight sweep w=0.75,C6 C4 C2,mf mf mf,flauta violino double_bass,,1 1 1,0.75,3,3,3,48.0,0.18966565362784496,0.026623907210711117,0.29416334622488083,68.461234,46.25509702702835,0.0018344666846413769,0.004232949370027161,1.281095357068227,1.0,3.469132277027126,0.006655976802677779,,False
WEIGHT.w1.0,WEIGHT,weight sweep w=1.0,C6 C4 C2,mf mf mf,flauta violino double_bass,,1 1 1,1.0,3,3,3,48.0,0.18966565362784496,0.026623907210711117,0.29416334622488083,68.461234,46.25509702702835,0.0018344666846413769,0.004232949370027161,1.281095357068227,1.0,4.625509702702835,0.0,,False
EDGE.two_note_min,EDGE,two-note minimum,C4 C#4,mf mf,flauta flauta,,1 1,0.5,2,2,2,1.0,0.9048374180359595,0.2798579136268373,1.3996513427071333,46.491688,33.09705359489669,0.007148988385600404,0.0165973853650981,0.9901818073458435,0.5582666303705729,1.6548526797448346,0.13992895681341866,,False
EDGE.single,EDGE,single pitch,C4,mf,flauta,,1,0.5,1,1,1,0.0,0.0,0.0,0.0,25.954758,25.954758,0.0,0.0,0.0,1.0,1.2977379,0.0,Fewer than two simultaneous events; interval compactness is zero or unstable.,False
MONO.octave_base,MONO,7-note cluster (mf) — octave-probe base,C4 C#4 D4 D#4 E4 F4 F#4,mf mf mf mf mf mf mf,flauta flauta flauta flauta flauta flauta flauta,,1 1 1 1 1 1 1,0.5,7,7,7,6.0,16.25878424995875,0.24900938507621384,36.8426185090773,136.495679,52.211943651228914,0.2426871661729893,0.7485866815349853,2.7906721868505007,0.19015076660412086,2.6105971825614454,0.12450469253810692,,False
MONO.octave_add,MONO,"cluster + octave C6 at pppp (min mass, max fusion)",C4 C#4 D4 D#4 E4 F4 F#4 C6,mf mf mf mf mf mf mf pppp,flauta flauta flauta flauta flauta flauta flauta flauta,,1 1 1 1 1 1 1 1,0.5,8,8,8,24.0,17.133223424267115,0.2073383206884457,39.149007935612964,140.511948125,52.3661863946911,0.25697423457203705,0.8070669148085851,2.898141789631556,0.2132987801032952,2.618309319734555,0.10366916034422285,"Instrument 'flauta' dynamic 'pppp' at event evt_7 is outside measured support ('pp', 'mf', 'ff'); boundary 'pp', ratio 0.85^2. Dynamic level outside measured support; saturated extrapolation applied.",False
MONO.twelfth_base,MONO,7-note cluster (mf) — twelfth-probe base,C4 C#4 D4 D#4 E4 F4 F#4,mf mf mf mf mf mf mf,flauta flauta flauta flauta flauta flauta flauta,,1 1 1 1 1 1 1,0.5,7,7,7,6.0,16.25878424995875,0.24900938507621384,36.8426185090773,136.495679,52.211943651228914,0.2426871661729893,0.7485866815349853,2.7906721868505007,0.19015076660412086,2.6105971825614454,0.12450469253810692,,False
MONO.twelfth_add,MONO,cluster + perfect twelfth G5 at pppp,C4 C#4 D4 D#4 E4 F4 F#4 G5,mf mf mf mf mf mf mf pppp,flauta flauta flauta flauta flauta flauta flauta flauta,,1 1 1 1 1 1 1 1,0.5,8,8,8,19.0,17.70049071657441,0.21276283206146598,40.67583179711867,141.2051211275,52.42390585402212,0.2649614437283599,0.8406085866481516,2.9085302081751765,0.1838089000792285,2.6211952927011057,0.106381416030733,"Instrument 'flauta' dynamic 'pppp' at event evt_7 is outside measured support ('pp', 'mf', 'ff'); boundary 'pp', ratio 0.85^2. Dynamic level outside measured support; saturated extrapolation applied.",False
